City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
conceicao do araguaia,-8.2578,-49.2647,73.49,96,100,3.94,BR,1612663380
luderitz,-26.6481,15.1594,67.42,70,0,22.7,NA,1612663104
kapaa,22.0752,-159.319,73.4,53,75,6.91,US,1612663389
bethel,41.3712,-73.414,35.01,59,1,4.74,US,1612662990
ambon,-3.6954,128.1814,89.6,62,40,5.75,ID,1612663039
arkhara,49.4212,130.0842,-16.24,87,44,6.69,RU,1612663398
busselton,-33.65,115.3333,62.01,95,100,3.0,AU,1612663231
upernavik,72.7868,-56.1549,18.97,75,0,4.59,GL,1612663385
mao,39.8885,4.2658,55.4,94,40,10.36,ES,1612663157
tuktoyaktuk,69.4541,-133.0374,-16.6,76,90,19.57,CA,1612663289
lisakovsk,52.5369,62.4936,5.5,89,49,25.14,KZ,1612663247
nuevo ideal,24.8875,-105.0728,56.7,33,0,2.53,MX,1612663418
bardiyah,31.7561,25.0865,61.54,52,79,8.23,LY,1612663421
touros,-5.1989,-35.4608,77.0,83,20,3.44,BR,1612662911
bredasdorp,-34.5322,20.0403,66.2,88,98,3.44,ZA,1612663386
port elizabeth,-33.918,25.5701,63.0,90,4,13.22,ZA,1612663249
vaini,-21.2,-175.2,84.2,84,75,9.22,TO,1612663264
vila velha,-20.3297,-40.2925,82.99,83,75,9.22,BR,1612662746
jamestown,42.097,-79.2353,17.6,53,1,6.91,US,1612663286
punta arenas,-53.15,-70.9167,51.8,66,0,17.27,CL,1612663382
ilulissat,69.2167,-51.1,26.6,43,0,27.63,GL,1612663423
pisco,-13.7,-76.2167,71.6,83,75,9.22,PE,1612663052
alofi,-19.0595,-169.9187,86.0,70,100,12.66,NU,1612662853
hasaki,35.7333,140.8333,57.0,50,20,5.75,JP,1612663430
qaanaaq,77.484,-69.3632,10.69,87,100,7.56,GL,1612663417
albany,42.6001,-73.9662,25.0,48,0,2.01,US,1612663015
east london,-33.0153,27.9116,72.7,87,75,17.58,ZA,1612663418
tiksi,71.6872,128.8694,-25.76,84,100,5.35,RU,1612663338
rikitea,-23.1203,-134.9692,78.78,69,73,10.56,PF,1612663245
yumen,40.2833,97.2,32.0,65,100,4.41,CN,1612663359
mahebourg,-20.4081,57.7,75.0,86,4,3.0,MU,1612663431
bluff,-46.6,168.3333,61.45,71,0,7.96,NZ,1612663269
geraldton,-28.7667,114.6,73.4,78,75,23.02,AU,1612663490
ancud,-41.8697,-73.8203,62.6,45,0,10.36,CL,1612663442
hobart,-42.8794,147.3294,66.0,63,75,17.27,AU,1612663379
mahon,39.8885,4.2658,55.4,94,40,10.36,ES,1612663499
dikson,73.5069,80.5464,-27.47,87,90,9.57,RU,1612663302
tasiilaq,65.6145,-37.6368,32.0,59,82,27.63,GL,1612663419
barrow,71.2906,-156.7887,-4.0,77,90,14.97,US,1612663382
provideniya,64.3833,-173.3,1.45,87,2,7.23,RU,1612663380
beloha,-25.1667,45.05,73.99,95,23,3.09,MG,1612663043
mataura,-46.1927,168.8643,81.86,44,5,1.34,NZ,1612663286
kieta,-6.2167,155.6333,87.33,64,85,8.01,PG,1612663291
saskylakh,71.9167,114.0833,-42.0,78,24,7.58,RU,1612663257
hermanus,-34.4187,19.2345,66.99,94,98,4.76,ZA,1612663390
nizhniy chir,48.3597,43.0865,21.69,86,57,13.94,RU,1612663535
hovd,48.0056,91.6419,8.02,91,0,1.54,MN,1612663358
mar del plata,-38.0023,-57.5575,64.0,77,20,11.5,AR,1612663378
samarai,-10.6167,150.6667,86.45,68,51,4.09,PG,1612663431
yeroham,30.9872,34.9314,48.0,100,0,0.27,IL,1612663548
roma,43.2128,-75.4557,19.4,58,1,5.1,US,1612663087
iqaluit,63.7506,-68.5145,26.6,68,90,11.5,CA,1612663439
zhezkazgan,47.8043,67.7144,15.19,94,39,15.75,KZ,1612663422
kamennomostskoye,43.7372,43.0514,33.8,93,90,2.24,RU,1612663561
pisz,53.6274,21.8125,-7.6,84,0,3.44,PL,1612663565
kormilovka,55.0026,74.1028,33.8,100,75,17.9,RU,1612663568
coquimbo,-29.9533,-71.3436,60.8,82,0,6.91,CL,1612663281
kampot,10.6167,104.1833,75.2,94,40,1.14,KH,1612663571
cuauhtemoc,28.4167,-106.8667,45.0,28,14,1.99,MX,1612663578
cape town,-33.9258,18.4232,70.0,83,20,11.5,ZA,1612663387
saint-joseph,-21.3667,55.6167,78.8,69,40,6.91,RE,1612663100
codrington,-38.2667,141.9667,61.11,65,100,12.26,AU,1612663381
tuatapere,-46.1333,167.6833,71.83,47,10,6.04,NZ,1612663136
yar-sale,66.8333,70.8333,-26.19,86,100,16.87,RU,1612663335
isangel,-19.55,169.2667,86.0,79,20,5.75,VU,1612663338
praia da vitoria,38.7333,-27.0667,60.8,82,20,13.76,PT,1612663600
thompson,55.7435,-97.8558,-27.4,68,40,12.66,CA,1612663386
bengkulu,-3.8004,102.2655,83.34,63,84,4.12,ID,1612663425
khatanga,71.9667,102.5,-35.28,78,0,8.55,RU,1612663295
kodiak,57.79,-152.4072,35.6,64,1,5.75,US,1612663444
mazara del vallo,37.6641,12.588,66.0,59,0,20.71,IT,1612663616
banjar,-8.19,114.9675,82.4,83,20,2.3,ID,1612663620
nikolskoye,59.7035,30.7861,10.4,85,75,15.66,RU,1612663419
bubaque,11.2833,-15.8333,78.51,53,51,23.53,GW,1612663402
saint-philippe,-21.3585,55.7679,78.8,69,40,6.91,RE,1612663372
hilo,19.7297,-155.09,77.0,57,75,6.91,US,1612663387
deputatskiy,69.3,139.9,-31.61,84,9,1.25,RU,1612663276
avarua,-21.2078,-159.775,86.0,66,17,11.5,CK,1612663383
severo-kurilsk,50.6789,156.125,22.71,93,93,21.92,RU,1612663435
bairiki,1.3292,172.9752,84.2,74,75,10.36,KI,1612663648
nabire,-3.3667,135.4833,82.22,68,100,1.14,ID,1612663651
atuona,-9.8,-139.0333,79.99,80,73,18.21,PF,1612663418
san patricio,28.017,-97.5169,64.4,63,1,3.44,US,1612663430
ginir,7.1333,40.7,55.78,59,100,2.48,ET,1612663661
sechura,-5.5569,-80.8222,76.6,65,49,13.24,PE,1612663287
ushuaia,-54.8,-68.3,50.0,76,75,12.66,AR,1612663339
longonjo,-12.9067,15.2533,64.24,73,100,1.88,AO,1612663671
labuhan,-6.8844,112.2051,83.25,77,3,12.88,ID,1612662942
burnie,-41.0667,145.9167,61.0,85,5,5.01,AU,1612663315
cabatuan,10.8794,122.486,81.19,79,78,14.16,PH,1612663681
saint george,37.1041,-113.5841,51.8,25,1,6.91,US,1612663217
cabo san lucas,22.8909,-109.9124,68.0,68,20,3.44,MX,1612663390
georgetown,5.4112,100.3354,82.4,74,20,8.05,MY,1612663280
xining,36.6167,101.7667,25.27,63,97,1.97,CN,1612663475
fort collins,40.5853,-105.0844,27.0,80,20,10.36,US,1612663495
berlevag,70.8578,29.0864,26.29,95,100,26.44,NO,1612663392
luangwa,-15.6167,30.4167,71.62,93,99,1.9,ZM,1612663703
ketchikan,55.3422,-131.6461,37.4,86,90,9.22,US,1612663528
carrickmacross,53.9728,-6.7189,42.01,78,92,11.99,IE,1612663710
vuyyuru,16.3667,80.85,68.0,94,73,5.03,IN,1612663714
lebu,-37.6167,-73.65,57.81,93,24,1.86,CL,1612663421
butaritari,3.0707,172.7902,80.98,81,71,20.78,KI,1612663387
ust-tsilma,65.441,52.1498,-33.09,80,95,9.53,RU,1612663723
longyearbyen,78.2186,15.6401,15.8,79,75,13.8,SJ,1612663423
brazzaville,-4.2658,15.2832,75.2,94,78,3.44,CG,1612663730
kavaratti,10.5669,72.642,81.46,59,57,8.57,IN,1612663733
tautira,-17.7333,-149.15,86.0,62,20,11.5,PF,1612663463
norman wells,65.282,-126.8329,-27.4,68,75,2.3,CA,1612663332
tahe,52.3333,124.7333,-5.75,85,30,3.31,CN,1612663743
kinango,-4.1372,39.3153,75.9,81,92,3.29,KE,1612663746
antalaha,-14.9003,50.2788,74.68,86,95,3.85,MG,1612663750
nyurba,63.2842,118.3319,-26.27,85,86,2.93,RU,1612663701
new norfolk,-42.7826,147.0587,66.0,47,82,3.0,AU,1612663289
bambous virieux,-20.3428,57.7575,75.0,86,3,3.0,MU,1612663462
vestmannaeyjar,63.4427,-20.2734,38.37,76,0,27.38,IS,1612663755
muros,42.7762,-9.0603,43.0,93,40,4.61,ES,1612663753
havelock,34.8791,-76.9013,46.0,57,90,9.22,US,1612663480
san cristobal,7.7669,-72.225,66.36,90,100,1.21,VE,1612663344
port alfred,-33.5906,26.891,66.99,87,33,4.0,ZA,1612663040
upata,8.0086,-62.3989,75.0,84,100,5.01,VE,1612663515
kavieng,-2.5744,150.7967,85.33,64,29,2.33,PG,1612663782
tsuruoka,38.7217,139.8217,39.72,92,100,16.08,JP,1612663785
kailua,21.4022,-157.7394,78.8,50,20,13.8,US,1612663789
port blair,11.6667,92.75,81.28,69,59,9.19,IN,1612663792
castro,-24.7911,-50.0119,61.34,92,44,10.78,BR,1612663248
shenjiamen,29.9576,122.298,54.46,71,0,3.27,CN,1612663799
quechultenango,17.4167,-99.2167,67.41,80,0,2.55,MX,1612663802
lasa,46.6166,10.7002,39.0,93,99,4.12,IT,1612663405
ribeira grande,38.5167,-28.7,61.18,89,94,21.59,PT,1612663445
richards bay,-28.783,32.0377,72.34,86,87,7.07,ZA,1612663270
tara,56.8944,74.371,27.66,98,100,16.06,RU,1612663815
yellowknife,62.456,-114.3525,-40.0,74,1,3.44,CA,1612663384
arraial do cabo,-22.9661,-42.0278,75.13,83,100,4.81,BR,1612663274
iquique,-20.2208,-70.1431,71.6,53,0,10.36,CL,1612663799
clyde river,70.4692,-68.5914,-7.6,77,90,2.3,CA,1612663280
kolkwitz,51.75,14.25,24.01,73,100,5.01,DE,1612663832
turkistan,43.0,68.0,39.06,86,100,4.72,KZ,1612663716
nanortalik,60.1432,-45.2371,24.98,88,100,9.28,GL,1612663277
liverpool,53.4106,-2.9779,39.2,81,90,13.8,GB,1612663842
asau,46.4333,26.4,27.0,73,100,3.65,RO,1612663350
hithadhoo,-0.6,73.0833,81.36,76,0,12.19,MV,1612663284
sabang,5.8933,95.3214,82.54,75,13,18.12,ID,1612663713
lajas,18.05,-67.0593,75.99,85,100,5.57,PR,1612663855
puerto ayora,-0.7393,-90.3518,77.0,94,66,6.76,EC,1612663250
yeppoon,-23.1333,150.7333,95.0,46,75,5.75,AU,1612663862
mount gambier,-37.8333,140.7667,62.6,59,90,13.8,AU,1612663866
nago,26.5881,127.9761,69.8,56,40,9.22,JP,1612663470
namtsy,62.7161,129.6658,-41.8,60,99,4.47,RU,1612663873
lehi,40.3916,-111.8508,42.01,45,40,3.65,US,1612663876
casino,-28.8667,153.05,89.6,51,79,4.61,AU,1612663879
namatanai,-3.6667,152.4333,86.16,63,86,6.6,PG,1612663388
nome,64.5011,-165.4064,17.6,73,90,3.44,US,1612663245
camacha,33.0833,-16.3333,59.0,77,40,13.8,PT,1612663322
miyako,39.6367,141.9525,41.68,81,62,3.13,JP,1612663892
te anau,-45.4167,167.7167,75.9,38,0,5.68,NZ,1612663298
kwekwe,-18.9281,29.8149,64.08,97,43,4.16,ZW,1612663899
kumbhraj,24.3667,77.05,50.79,50,0,2.98,IN,1612663904
taseyevo,57.2169,94.8978,23.88,97,100,5.23,RU,1612663907
piekary slaskie,50.3802,18.9265,21.0,79,90,13.8,PL,1612663910
dicabisagan,17.0818,122.4157,79.95,77,66,4.07,PH,1612663914
koslan,63.4564,48.8989,-24.41,82,47,10.38,RU,1612663740
itaituba,-4.2761,-55.9836,82.4,83,0,2.55,BR,1612663920
snezhnogorsk,69.1933,33.2531,23.0,86,75,13.42,RU,1612663923
broome,42.2506,-75.833,24.8,33,1,4.61,US,1612663381
